name,code,bot_start_link,file
Obekt 1,object_1,https://t.me/kitob_maktab_shop_bot?start=object_1,obekt_1.png
Obekt 2,object_2,https://t.me/kitob_maktab_shop_bot?start=object_2,obekt_2.png
Obekt 3,object_3,https://t.me/kitob_maktab_shop_bot?start=object_3,obekt_3.png
Obekt 4,object_4,https://t.me/kitob_maktab_shop_bot?start=object_4,obekt_4.png
Obekt 5,object_5,https://t.me/kitob_maktab_shop_bot?start=object_5,obekt_5.png
Obekt 6,object_6,https://t.me/kitob_maktab_shop_bot?start=object_6,obekt_6.png
Obekt 7,object_7,https://t.me/kitob_maktab_shop_bot?start=object_7,obekt_7.png
Obekt 8,object_8,https://t.me/kitob_maktab_shop_bot?start=object_8,obekt_8.png
Obekt 9,object_9,https://t.me/kitob_maktab_shop_bot?start=object_9,obekt_9.png
Obekt 10,object_10,https://t.me/kitob_maktab_shop_bot?start=object_10,obekt_10.png
Obekt 11,object_11,https://t.me/kitob_maktab_shop_bot?start=object_11,obekt_11.png
Obekt 12,object_12,https://t.me/kitob_maktab_shop_bot?start=object_12,obekt_12.png
Obekt 13,object_13,https://t.me/kitob_maktab_shop_bot?start=object_13,obekt_13.png
Obekt 14,object_14,https://t.me/kitob_maktab_shop_bot?start=object_14,obekt_14.png
Obekt 15,object_15,https://t.me/kitob_maktab_shop_bot?start=object_15,obekt_15.png
Obekt 16,object_16,https://t.me/kitob_maktab_shop_bot?start=object_16,obekt_16.png
Obekt 17,object_17,https://t.me/kitob_maktab_shop_bot?start=object_17,obekt_17.png
Obekt 18,object_18,https://t.me/kitob_maktab_shop_bot?start=object_18,obekt_18.png
Obekt 19,object_19,https://t.me/kitob_maktab_shop_bot?start=object_19,obekt_19.png
Obekt 20,object_20,https://t.me/kitob_maktab_shop_bot?start=object_20,obekt_20.png
Obekt 21,object_21,https://t.me/kitob_maktab_shop_bot?start=object_21,obekt_21.png
Obekt 22,object_22,https://t.me/kitob_maktab_shop_bot?start=object_22,obekt_22.png
Obekt 23,object_23,https://t.me/kitob_maktab_shop_bot?start=object_23,obekt_23.png
Obekt 24,object_24,https://t.me/kitob_maktab_shop_bot?start=object_24,obekt_24.png
Obekt 25,object_25,https://t.me/kitob_maktab_shop_bot?start=object_25,obekt_25.png
Obekt 26,object_26,https://t.me/kitob_maktab_shop_bot?start=object_26,obekt_26.png
Obekt 27,object_27,https://t.me/kitob_maktab_shop_bot?start=object_27,obekt_27.png
Obekt 28,object_28,https://t.me/kitob_maktab_shop_bot?start=object_28,obekt_28.png
Obekt 29,object_29,https://t.me/kitob_maktab_shop_bot?start=object_29,obekt_29.png
Obekt 30,object_30,https://t.me/kitob_maktab_shop_bot?start=object_30,obekt_30.png
